Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V,Dead time t / %
37.001,5,37,37,14.0033047799281,748.880208333333,0.0980231334594964
38,9,38,38,9.99385821891013,748.4921875,0.0699570075323709
39.001,4,39,39,15.0038169710374,748.4921875,0.105026718797262
40.001,4,40,40,12.0096413400678,748.4921875,0.0840674893804746
41.001,5,41,41,7.77129824199912,748.4921875,0.0543990876939938
42.001,7,42,42,16.017245768519,748.4921875,0.112120720379633
43.001,7,43,43,13.315480233336,748.4921875,0.0932083616333522
44,5,44,44,19.0265324995707,748.880208333333,0.133185727496995
45,5,45,45,11.0976779884438,749.268229166667,0.0776837459191064
46.001,4,46,46,11.9899883597196,748.880208333333,0.0839299185180374
47.001,6,47,47,13.326693678394,749.65625,0.0932868557487581
48,6,48,48,14.016866495454,748.880208333333,0.0981180654681778
49,4,49,49,18.8557614111741,748.880208333333,0.131990329878218
50,3,50,50,12.9961700286925,748.4921875,0.0909731902008478
,5,51,51,,,
,14,52,52,,,
,4,53,53,,,
,3,54,54,,,
,4,55,55,,,
,5,56,56,,,
,3,57,57,,,
,4,58,58,,,
,5,59,59,,,
,0,60,60,,,
,5,61,61,,,
,3,62,62,,,
,1,63,63,,,
,5,64,64,,,
,3,65,65,,,
,1,66,66,,,
,3,67,67,,,
,5,68,68,,,
,3,69,69,,,
,2,70,70,,,
,5,71,71,,,
,6,72,72,,,
,2,73,73,,,
,1,74,74,,,
,3,75,75,,,
,0,76,76,,,
,4,77,77,,,
,6,78,78,,,
,3,79,79,,,
,3,80,80,,,
,1,81,81,,,
,0,82,82,,,
,1,83,83,,,
,4,84,84,,,
,4,85,85,,,
,2,86,86,,,
,3,87,87,,,
,4,88,88,,,
,0,89,89,,,
,2,90,90,,,
,1,91,91,,,
,1,92,92,,,
,0,93,93,,,
,2,94,94,,,
,2,95,95,,,
,3,96,96,,,
,3,97,97,,,
,1,98,98,,,
,2,99,99,,,
,3,100,100,,,
,4,101,101,,,
,3,102,102,,,
,4,103,103,,,
,1,104,104,,,
,1,105,105,,,
,1,106,106,,,
,2,107,107,,,
,0,108,108,,,
,2,109,109,,,
,2,110,110,,,
,1,111,111,,,
,1,112,112,,,
,4,113,113,,,
,3,114,114,,,
,0,115,115,,,
,2,116,116,,,
,2,117,117,,,
,0,118,118,,,
,1,119,119,,,
,2,120,120,,,
,0,121,121,,,
,3,122,122,,,
,0,123,123,,,
,1,124,124,,,
,1,125,125,,,
,1,126,126,,,
,5,127,127,,,
,0,128,128,,,
,0,129,129,,,
,1,130,130,,,
,2,131,131,,,
,3,132,132,,,
,0,133,133,,,
,2,134,134,,,
,1,135,135,,,
,0,136,136,,,
,2,137,137,,,
,0,138,138,,,
,1,139,139,,,
,0,140,140,,,
,2,141,141,,,
,2,142,142,,,
,1,143,143,,,
,2,144,144,,,
,2,145,145,,,
,0,146,146,,,
,2,147,147,,,
,0,148,148,,,
,0,149,149,,,
,0,150,150,,,
,0,151,151,,,
,0,152,152,,,
,2,153,153,,,
,1,154,154,,,
,0,155,155,,,
,0,156,156,,,
,0,157,157,,,
,0,158,158,,,
,2,159,159,,,
,0,160,160,,,
,1,161,161,,,
,0,162,162,,,
,0,163,163,,,
,1,164,164,,,
,0,165,165,,,
,0,166,166,,,
,1,167,167,,,
,0,168,168,,,
,0,169,169,,,
,1,170,170,,,
,0,171,171,,,
,0,172,172,,,
,0,173,173,,,
,0,174,174,,,
,2,175,175,,,
,0,176,176,,,
,1,177,177,,,
,0,178,178,,,
,0,179,179,,,
,0,180,180,,,
,1,181,181,,,
,0,182,182,,,
,0,183,183,,,
,1,184,184,,,
,0,185,185,,,
,0,186,186,,,
,1,187,187,,,
,0,188,188,,,
,0,189,189,,,
,0,190,190,,,
,1,191,191,,,
,1,192,192,,,
,2,193,193,,,
,0,194,194,,,
,0,195,195,,,
,0,196,196,,,
,0,197,197,,,
,0,198,198,,,
,0,199,199,,,
,0,200,200,,,
,0,201,201,,,
,0,202,202,,,
,0,203,203,,,
,0,204,204,,,
,3,205,205,,,
,1,206,206,,,
,0,207,207,,,
,0,208,208,,,
,0,209,209,,,
,0,210,210,,,
,0,211,211,,,
,3,212,212,,,
,0,213,213,,,
,1,214,214,,,
,1,215,215,,,
,0,216,216,,,
,1,217,217,,,
,0,218,218,,,
,1,219,219,,,
,0,220,220,,,
,0,221,221,,,
,0,222,222,,,
,0,223,223,,,
,0,224,224,,,
,0,225,225,,,
,0,226,226,,,
,0,227,227,,,
,0,228,228,,,
,0,229,229,,,
,0,230,230,,,
,0,231,231,,,
,0,232,232,,,
,3,233,233,,,
,0,234,234,,,
,1,235,235,,,
,0,236,236,,,
,1,237,237,,,
,0,238,238,,,
,0,239,239,,,
,0,240,240,,,
,0,241,241,,,
,1,242,242,,,
,2,243,243,,,
,0,244,244,,,
,0,245,245,,,
,1,246,246,,,
,1,247,247,,,
,0,248,248,,,
,0,249,249,,,
,0,250,250,,,
,1,251,251,,,
,0,252,252,,,
,1,253,253,,,
,0,254,254,,,
,1,255,255,,,
,0,256,256,,,
,0,257,257,,,
,1,258,258,,,
,0,259,259,,,
,0,260,260,,,
,0,261,261,,,
,0,262,262,,,
,1,263,263,,,
,0,264,264,,,
,2,265,265,,,
,1,266,266,,,
,0,267,267,,,
,1,268,268,,,
,2,269,269,,,
,2,270,270,,,
,0,271,271,,,
,0,272,272,,,
,0,273,273,,,
,0,274,274,,,
,1,275,275,,,
,0,276,276,,,
,0,277,277,,,
,0,278,278,,,
,1,279,279,,,
,0,280,280,,,
,0,281,281,,,
,0,282,282,,,
,0,283,283,,,
,0,284,284,,,
,0,285,285,,,
,1,286,286,,,
,0,287,287,,,
,0,288,288,,,
,1,289,289,,,
,0,290,290,,,
,0,291,291,,,
,0,292,292,,,
,0,293,293,,,
,0,294,294,,,
,1,295,295,,,
,0,296,296,,,
,1,297,297,,,
,0,298,298,,,
,0,299,299,,,
,0,300,300,,,
,0,301,301,,,
,0,302,302,,,
,1,303,303,,,
,0,304,304,,,
,0,305,305,,,
,0,306,306,,,
,0,307,307,,,
,0,308,308,,,
,0,309,309,,,
,0,310,310,,,
,1,311,311,,,
,0,312,312,,,
,2,313,313,,,
,0,314,314,,,
,0,315,315,,,
,0,316,316,,,
,1,317,317,,,
,0,318,318,,,
,0,319,319,,,
,0,320,320,,,
,0,321,321,,,
,2,322,322,,,
,0,323,323,,,
,0,324,324,,,
,0,325,325,,,
,1,326,326,,,
,0,327,327,,,
,0,328,328,,,
,1,329,329,,,
,0,330,330,,,
,0,331,331,,,
,0,332,332,,,
,0,333,333,,,
,0,334,334,,,
,1,335,335,,,
,0,336,336,,,
,0,337,337,,,
,0,338,338,,,
,0,339,339,,,
,1,340,340,,,
,0,341,341,,,
,1,342,342,,,
,0,343,343,,,
,0,344,344,,,
,1,345,345,,,
,0,346,346,,,
,0,347,347,,,
,0,348,348,,,
,0,349,349,,,
,0,350,350,,,
,0,351,351,,,
,0,352,352,,,
,0,353,353,,,
,0,354,354,,,
,0,355,355,,,
,0,356,356,,,
,0,357,357,,,
,0,358,358,,,
,0,359,359,,,
,0,360,360,,,
,0,361,361,,,
,0,362,362,,,
,0,363,363,,,
,0,364,364,,,
,0,365,365,,,
,0,366,366,,,
,0,367,367,,,
,0,368,368,,,
,0,369,369,,,
,0,370,370,,,
,0,371,371,,,
,0,372,372,,,
,0,373,373,,,
,0,374,374,,,
,0,375,375,,,
,0,376,376,,,
,0,377,377,,,
,0,378,378,,,
,0,379,379,,,
,0,380,380,,,
,0,381,381,,,
,1,382,382,,,
,0,383,383,,,
,0,384,384,,,
,0,385,385,,,
,0,386,386,,,
,0,387,387,,,
,0,388,388,,,
,0,389,389,,,
,0,390,390,,,
,0,391,391,,,
,0,392,392,,,
,0,393,393,,,
,0,394,394,,,
,0,395,395,,,
,0,396,396,,,
,0,397,397,,,
,0,398,398,,,
,0,399,399,,,
,0,400,400,,,
,0,401,401,,,
,0,402,402,,,
,0,403,403,,,
,0,404,404,,,
,0,405,405,,,
,1,406,406,,,
,0,407,407,,,
,0,408,408,,,
,0,409,409,,,
,0,410,410,,,
,0,411,411,,,
,0,412,412,,,
,0,413,413,,,
,0,414,414,,,
,0,415,415,,,
,0,416,416,,,
,0,417,417,,,
,0,418,418,,,
,0,419,419,,,
,0,420,420,,,
,0,421,421,,,
,0,422,422,,,
,0,423,423,,,
,0,424,424,,,
,0,425,425,,,
,0,426,426,,,
,0,427,427,,,
,0,428,428,,,
,0,429,429,,,
,0,430,430,,,
,0,431,431,,,
,1,432,432,,,
,0,433,433,,,
,0,434,434,,,
,0,435,435,,,
,0,436,436,,,
,0,437,437,,,
,0,438,438,,,
,0,439,439,,,
,2,440,440,,,
,0,441,441,,,
,0,442,442,,,
,0,443,443,,,
,0,444,444,,,
,0,445,445,,,
,1,446,446,,,
,0,447,447,,,
,0,448,448,,,
,0,449,449,,,
,0,450,450,,,
,0,451,451,,,
,0,452,452,,,
,0,453,453,,,
,0,454,454,,,
,0,455,455,,,
,0,456,456,,,
,0,457,457,,,
,0,458,458,,,
,0,459,459,,,
,0,460,460,,,
,0,461,461,,,
,0,462,462,,,
,0,463,463,,,
,0,464,464,,,
,0,465,465,,,
,0,466,466,,,
,0,467,467,,,
,0,468,468,,,
,0,469,469,,,
,0,470,470,,,
,0,471,471,,,
,0,472,472,,,
,0,473,473,,,
,0,474,474,,,
,0,475,475,,,
,0,476,476,,,
,0,477,477,,,
,0,478,478,,,
,0,479,479,,,
,0,480,480,,,
,0,481,481,,,
,0,482,482,,,
,0,483,483,,,
,0,484,484,,,
,0,485,485,,,
,0,486,486,,,
,0,487,487,,,
,0,488,488,,,
,0,489,489,,,
,0,490,490,,,
,0,491,491,,,
,0,492,492,,,
,0,493,493,,,
,0,494,494,,,
,1,495,495,,,
,0,496,496,,,
,0,497,497,,,
,0,498,498,,,
,0,499,499,,,
,0,500,500,,,
,0,501,501,,,
,0,502,502,,,
,0,503,503,,,
,0,504,504,,,
,1,505,505,,,
,0,506,506,,,
,0,507,507,,,
,0,508,508,,,
,0,509,509,,,
,0,510,510,,,
,0,511,511,,,
