Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V
,4,132,132,,
,5,133,133,,
,3,134,134,,
,5,135,135,,
,8,136,136,,
,1,137,137,,
,4,138,138,,
,3,139,139,,
,3,140,140,,
,3,141,141,,
,2,142,142,,
,3,143,143,,
,5,144,144,,
,1,145,145,,
,6,146,146,,
,3,147,147,,
,2,148,148,,
,3,149,149,,
,2,150,150,,
,4,151,151,,
,2,152,152,,
,2,153,153,,
,1,154,154,,
,5,155,155,,
,2,156,156,,
,4,157,157,,
,2,158,158,,
,6,159,159,,
,4,160,160,,
,0,161,161,,
,0,162,162,,
,3,163,163,,
,3,164,164,,
,0,165,165,,
,2,166,166,,
,2,167,167,,
,3,168,168,,
,2,169,169,,
,2,170,170,,
,1,171,171,,
,2,172,172,,
,6,173,173,,
,3,174,174,,
,1,175,175,,
,3,176,176,,
,1,177,177,,
,2,178,178,,
,2,179,179,,
,2,180,180,,
,3,181,181,,
,7,182,182,,
,3,183,183,,
,3,184,184,,
,4,185,185,,
,2,186,186,,
,2,187,187,,
,3,188,188,,
,3,189,189,,
,0,190,190,,
,1,191,191,,
,2,192,192,,
,2,193,193,,
,2,194,194,,
,1,195,195,,
,1,196,196,,
,3,197,197,,
,0,198,198,,
,0,199,199,,
,2,200,200,,
,0,201,201,,
,3,202,202,,
,2,203,203,,
,1,204,204,,
,4,205,205,,
,3,206,206,,
,4,207,207,,
,2,208,208,,
,2,209,209,,
,0,210,210,,
,2,211,211,,
,1,212,212,,
,2,213,213,,
,0,214,214,,
,0,215,215,,
,2,216,216,,
,0,217,217,,
,1,218,218,,
,1,219,219,,
,4,220,220,,
,2,221,221,,
,0,222,222,,
,0,223,223,,
,0,224,224,,
,1,225,225,,
,1,226,226,,
,1,227,227,,
,0,228,228,,
,0,229,229,,
,0,230,230,,
,0,231,231,,
,0,232,232,,
,0,233,233,,
,1,234,234,,
,0,235,235,,
,2,236,236,,
,0,237,237,,
,1,238,238,,
,1,239,239,,
,0,240,240,,
,1,241,241,,
,1,242,242,,
,1,243,243,,
,0,244,244,,
,0,245,245,,
,1,246,246,,
,0,247,247,,
,0,248,248,,
,1,249,249,,
,0,250,250,,
,1,251,251,,
,0,252,252,,
,1,253,253,,
,1,254,254,,
,0,255,255,,
,0,256,256,,
,0,257,257,,
,0,258,258,,
,0,259,259,,
,0,260,260,,
,0,261,261,,
,0,262,262,,
,0,263,263,,
,0,264,264,,
,0,265,265,,
,0,266,266,,
,0,267,267,,
,0,268,268,,
,0,269,269,,
,0,270,270,,
,0,271,271,,
,0,272,272,,
,0,273,273,,
,0,274,274,,
,0,275,275,,
,1,276,276,,
,0,277,277,,
,0,278,278,,
,1,279,279,,
,0,280,280,,
,0,281,281,,
,0,282,282,,
,0,283,283,,
,0,284,284,,
,0,285,285,,
,0,286,286,,
,0,287,287,,
,0,288,288,,
,0,289,289,,
,0,290,290,,
,1,291,291,,
,0,292,292,,
,0,293,293,,
,0,294,294,,
,0,295,295,,
,0,296,296,,
,0,297,297,,
,0,298,298,,
,0,299,299,,
,0,300,300,,
,0,301,301,,
,0,302,302,,
,0,303,303,,
,0,304,304,,
,0,305,305,,
,1,306,306,,
,0,307,307,,
,0,308,308,,
,0,309,309,,
,0,310,310,,
,0,311,311,,
,0,312,312,,
,0,313,313,,
,0,314,314,,
,0,315,315,,
,0,316,316,,
,0,317,317,,
,0,318,318,,
,0,319,319,,
,0,320,320,,
,0,321,321,,
,0,322,322,,
,0,323,323,,
,0,324,324,,
,0,325,325,,
,0,326,326,,
,0,327,327,,
,0,328,328,,
,0,329,329,,
,0,330,330,,
,0,331,331,,
,0,332,332,,
,0,333,333,,
,0,334,334,,
,0,335,335,,
,0,336,336,,
,0,337,337,,
,0,338,338,,
,0,339,339,,
,0,340,340,,
,0,341,341,,
,0,342,342,,
,0,343,343,,
,0,344,344,,
,0,345,345,,
,0,346,346,,
,0,347,347,,
,0,348,348,,
,0,349,349,,
,0,350,350,,
,0,351,351,,
,0,352,352,,
,0,353,353,,
,0,354,354,,
,0,355,355,,
,0,356,356,,
,0,357,357,,
,0,358,358,,
,0,359,359,,
,0,360,360,,
,0,361,361,,
,1,362,362,,
,0,363,363,,
,0,364,364,,
,0,365,365,,
,0,366,366,,
,0,367,367,,
,0,368,368,,
,0,369,369,,
,0,370,370,,
,0,371,371,,
,0,372,372,,
,0,373,373,,
,0,374,374,,
,0,375,375,,
,0,376,376,,
,0,377,377,,
,0,378,378,,
,1,379,379,,
,0,380,380,,
,0,381,381,,
,0,382,382,,
,0,383,383,,
,0,384,384,,
,0,385,385,,
,0,386,386,,
,0,387,387,,
,0,388,388,,
,0,389,389,,
,0,390,390,,
,0,391,391,,
,0,392,392,,
,0,393,393,,
,0,394,394,,
,0,395,395,,
,0,396,396,,
,0,397,397,,
,0,398,398,,
,0,399,399,,
,0,400,400,,
,0,401,401,,
,0,402,402,,
,0,403,403,,
,0,404,404,,
,0,405,405,,
,0,406,406,,
,0,407,407,,
,0,408,408,,
,0,409,409,,
,0,410,410,,
,0,411,411,,
,0,412,412,,
,0,413,413,,
,0,414,414,,
,0,415,415,,
,0,416,416,,
,0,417,417,,
,0,418,418,,
,0,419,419,,
,0,420,420,,
,0,421,421,,
,0,422,422,,
,0,423,423,,
,0,424,424,,
,0,425,425,,
,0,426,426,,
,0,427,427,,
,0,428,428,,
,0,429,429,,
,0,430,430,,
,0,431,431,,
,0,432,432,,
,0,433,433,,
,0,434,434,,
,0,435,435,,
,0,436,436,,
,0,437,437,,
,0,438,438,,
,0,439,439,,
,0,440,440,,
,0,441,441,,
,0,442,442,,
,0,443,443,,
,0,444,444,,
,0,445,445,,
,1,446,446,,
,0,447,447,,
,0,448,448,,
,0,449,449,,
,0,450,450,,
,0,451,451,,
,0,452,452,,
,0,453,453,,
,0,454,454,,
,0,455,455,,
,0,456,456,,
,0,457,457,,
,0,458,458,,
,0,459,459,,
,0,460,460,,
,0,461,461,,
,0,462,462,,
,0,463,463,,
,0,464,464,,
,0,465,465,,
,0,466,466,,
,0,467,467,,
,0,468,468,,
,0,469,469,,
,0,470,470,,
,0,471,471,,
,0,472,472,,
,0,473,473,,
,0,474,474,,
,0,475,475,,
,0,476,476,,
,0,477,477,,
,0,478,478,,
,0,479,479,,
,0,480,480,,
,0,481,481,,
,0,482,482,,
,0,483,483,,
,0,484,484,,
,0,485,485,,
,0,486,486,,
,0,487,487,,
,0,488,488,,
,0,489,489,,
,0,490,490,,
,0,491,491,,
,0,492,492,,
,1,493,493,,
,0,494,494,,
,1,495,495,,
,0,496,496,,
,0,497,497,,
,0,498,498,,
,0,499,499,,
,1,500,500,,
,0,501,501,,
,0,502,502,,
,0,503,503,,
,0,504,504,,
,0,505,505,,
,0,506,506,,
,0,507,507,,
,0,508,508,,
,0,509,509,,
,0,510,510,,
,0,511,511,,
